especificacion,tabla_o_figura,covariables,interacciones,estratos,eventos,filas_evento_dia,muertes,censurados,HR_D,origen,nota
Subpoblacion de precio: P20s: subida >= 20% (con o sin caida),Tabla 6.4,las de I2,ninguna,ninguno,1078,18260,1076,2,"1.405 [0.86, 2.29]",cox_subpoblacion_precio.py; cox_subpoblacion_precio.csv,
Subpoblacion de precio: NO: complemento de P10,Tabla 6.4,las de I2,ninguna,ninguno,1873,27376,1869,4,"1.564 [1.17, 2.10]",cox_subpoblacion_precio.py; cox_subpoblacion_precio.csv,
"Solo sentimiento, base (rezago 1)",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,2791,45882,2785,6,"1.786 [1.39, 2.30]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, rezago 2 dias",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,2791,45882,2785,6,"1.445 [1.14, 1.84]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, rezago 3 dias",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,2791,45882,2785,6,"1.380 [1.10, 1.73]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, sin regimen lento",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,2779,44428,2773,6,"1.754 [1.36, 2.26]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, solo 2020-2021 (era GME)",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,1483,26621,1483,0,"2.806 [1.95, 4.05]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, solo 2022-2026",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,1308,19261,1302,6,"1.017 [0.72, 1.43]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, estratificado por anio",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,anio de inicio,2791,45882,2785,6,"1.795 [1.39, 2.31]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, solo dias con >=5 direccionales",texto 6.5,"B, D, silencio, volumen (rezago indicado)",ninguna,ninguno,2436,28107,2195,241,"2.550 [1.72, 3.78]",celda_F12.py; robustez_desacuerdo.csv,
"Solo sentimiento, era GME (2020-21) + >=5 direccionales",texto 6.5,"B, D, silencio, volumen (t-1)",ninguna,ninguno,1308,15872,1183,125,"3.213 [1.90, 5.44]",celda_F12b.py; robustez_heterogeneidad_eras.csv,
"Solo sentimiento, 2022-2026 + >=5 direccionales",texto 6.5,"B, D, silencio, volumen (t-1)",ninguna,ninguno,1128,12235,1012,116,"1.685 [0.93, 3.06]",celda_F12b.py; robustez_heterogeneidad_eras.csv,
Weibull AFT retrospectivo (S6),texto 5.4,las seis estaticas de I2 + B y D promedio de los dias 0 a 2,ninguna,ninguno,2636,2636,2630,6,AFT: d_temprano (weibull_aft.csv),celda_S6.py; weibull_aft.csv,una fila por evento; forma 1.32
Weibull AFT prospectivo al dia 3,Tabla 5.4,"log z, log base previa, B y D de los dias 0 a 2, sin direccionales tempranos",ninguna,ninguno,2386,2386,2380,6,AFT: d_temprano 0.378,weibull_prospectivo.py; weibull_prospectivo.csv,entrada (truncamiento) en el dia 3; conteos de la salida impresa del script
Weibull AFT con entrada en la elegibilidad,texto 5.6,las del prospectivo al dia 3,ninguna,ninguno,2220,2220,2215,5,AFT: d_temprano 0.339,prospectivo_elegible.py; weibull_elegible.csv,"entrada en max(3, dia de las 300 menciones + 1); conteos de la salida impresa del script"
