id,created_utc,anio,mes,sub,tipo,ticker,n_tickers,sha256_texto,deepseek,openai,claude,etiqueta_equipo,votos,flag_empate
esclxy,1579702941.0,2020,1,Daytrading,submissions,MT,1,93213b84b4ea5fdd5ecdbf3944c19d6222ac9b6e6c39659b80bb80e84f6ddbdf,neutral,neutral,neutral,neutral,3,False
el92lp,1578387458.0,2020,1,Daytrading,submissions,CMC,1,89c9dacdb9d4341e1153f2a4fd788ca9688d9e2240e74e2ea636ba397e713f60,neutral,neutral,neutral,neutral,3,False
gd9v20,1588591591.0,2020,5,Daytrading,submissions,AAL,5,721cc4af01f91958a823c2dd8c55732db832d17870378925c04b2967cfd2afcf,neutral,venta,venta,venta,2,False
fpyrwkc,1589008409.0,2020,5,Daytrading,comments,RCL,2,610fb3fbad31055a3849c17b359d88925be3c995678cd10f64c0d02c7450e679,neutral,venta,neutral,neutral,2,False
geur17,1588806263.0,2020,5,Daytrading,submissions,GOLD,1,76c58a92786fff3eb851100ba2f7094295645375d45f7cad2b6cd3301d16ef4d,venta,venta,venta,venta,3,False
fp9d7qg,1588422902.0,2020,5,Daytrading,comments,AMP,1,8042754170b662fb04b4d3f19c35474e16fa299e80122db4d8bd66658181a4ac,neutral,neutral,neutral,neutral,3,False
fpyrhn8,1589008262.0,2020,5,Daytrading,comments,MGM,1,333fb70c2ca436c95c027803fb734e8bbf0a091fdc875210766399bbe34d1e1b,neutral,neutral,neutral,neutral,3,False
gm59kb,1589820977.0,2020,5,Daytrading,submissions,MRNA,1,58fb10dc5279edab40522189a1a8dbbf27bef33cc20c58a5c64ba59f4747443a,neutral,neutral,neutral,neutral,3,False
fper7pl,1588553217.0,2020,5,Daytrading,comments,VS,1,d80cf2e3674d791ee085e6ea513a402afe60d6436aee97252b5f341dc05bb2b8,neutral,neutral,neutral,neutral,3,False
gn3m1e,1589944492.0,2020,5,Daytrading,submissions,NNDM,1,28e81590284d0be8109c317b1ba43b0909b1a6fdd4c8e6f6d95829934ec0f440,neutral,neutral,neutral,neutral,3,False
gk11wq,1589511199.0,2020,5,Daytrading,submissions,VTIQ,1,3929cfed2f4fcf253e352441e05c55c989d9432e498af33d206a3e09cead9a8a,compra,compra,compra,compra,3,False
fq0yowq,1589039283.0,2020,5,Daytrading,comments,TSLA,1,7b23762a7d9b9db96789eb73ff7499fb718e0f10b7e6b2d115f0cb9098ce52d4,neutral,compra,neutral,neutral,2,False
fplx304,1588721142.0,2020,5,Daytrading,comments,UAVS,1,b19739ff09228d599dd58a7c8a60fdfe1f1c997b934aeb9a04aa6572a9256f51,neutral,neutral,neutral,neutral,3,False
fpki13f,1588695059.0,2020,5,Daytrading,comments,SNAP,1,38a7ac29a60af3157adfee742ecc8dbb22f39ee1dac7ce964ed6c5a5d1b04bae,neutral,venta,neutral,neutral,2,False
gdwvh4,1588681874.0,2020,5,Daytrading,submissions,BCRX,3,12ff417164ac53510d08546b831b49bdd4fa8d3fe5eacf5ab598be3061078930,neutral,neutral,neutral,neutral,3,False
gloygy,1589754738.0,2020,5,Daytrading,submissions,TSLA,1,54e395e7f52ca5cd7bdf2949f00600a6a979d2fbc70fafb382b100924e6c00ab,neutral,neutral,neutral,neutral,3,False
fpaouby,1588452616.0,2020,5,Daytrading,comments,AMZN,1,4dc572e5237153457d8dd58828dfa29fe1eb0dfb0141720f3d8be183a45e6aa4,neutral,compra,compra,compra,2,False
felow3v,1579227358.0,2020,1,Daytrading,comments,PLAN,1,7da1d1bfe42c808681600d6e188780f5786a2089f3fb68311ddf2ddc876077e7,neutral,neutral,neutral,neutral,3,False
feari5q,1578951592.0,2020,1,Daytrading,comments,ADBE,5,8af0f33772390babbdbdc081716718968b515c5862b403fbf966d44ba3064978,compra,compra,compra,compra,3,False
fpq4iwt,1588815014.0,2020,5,Daytrading,comments,GME,2,da3950f419656ef619fdd092552836d285b050c672a92363382cbbf81be2e3ad,venta,venta,venta,venta,3,False
fpnl9in,1588766446.0,2020,5,Daytrading,comments,BABA,7,e0d702063140437c823a164dbff7980c4d9c16a7ab30a233093f30e456dbdb95,neutral,neutral,neutral,neutral,3,False
fpocp5z,1588782263.0,2020,5,Daytrading,comments,IZEA,1,95ff3269bee94990557bdd40a7c038a0a884d2375ec074431749032034641ad1,neutral,neutral,neutral,neutral,3,False
gfae3w,1588870744.0,2020,5,Daytrading,submissions,TSLA,1,d7c633b95e5b4889b2ca20464c76ef1ab3da3d168cbeff3c3d88570a9224720d,compra,compra,compra,compra,3,False
fpdq3wd,1588531965.0,2020,5,Daytrading,comments,AMD,1,eaa64eca4c83f95a3fb3a31b2cec37b9dbaa6e571e38f70afb77894834fbd1a4,compra,neutral,neutral,neutral,2,False
ffgh857,1579906171.0,2020,1,Daytrading,comments,AMP,1,17a4b24627063b0b89170c884b718504d6f08e9a511bb8b5e16f489215a20fbe,compra,neutral,neutral,neutral,2,False
etfm7u,1579895697.0,2020,1,Daytrading,submissions,AMP,1,60b4493d94f917840403a2a313d41b731174f6ca42313719fb2f3ebae0aedf8c,neutral,neutral,neutral,neutral,3,False
gnjsz7,1590008421.0,2020,5,Daytrading,submissions,CIDM,1,068b1efabe222d95c4a45b60884e383703540c044bf26f57a428d5fafd484520,compra,compra,compra,compra,3,False
ff4qp0x,1579570141.0,2020,1,Daytrading,comments,CPA,1,7cbbe00e02b6b2a44ad32fdb485f3ffff5dab8049e90cda10e5dc600bff9cba9,neutral,neutral,neutral,neutral,3,False
fejxlzb,1579188172.0,2020,1,Daytrading,comments,CBD,1,25494741aebd83dbf3fc3d4a3c513eaabc3b3241093d887dcf8bc7e5486343b1,neutral,neutral,neutral,neutral,3,False
gesfs8,1588798709.0,2020,5,Daytrading,submissions,ON,1,9b8a27b8916add9b5552bda2c1e1011014b71ad462f51ed9f452d515afb2d1eb,neutral,compra,compra,compra,2,False
gga6jw,1589004945.0,2020,5,Daytrading,submissions,DAY,1,7803a79dc1ff15ae1daf8367c2714795b4b186294cedfe258bfe15be081075a9,neutral,neutral,neutral,neutral,3,False
gni4lw,1590003123.0,2020,5,Daytrading,submissions,DEAC,4,96dbe105b572a4afc2f7ceb0dbab582460dd8b75b2458b4f8d06843b110f6fb0,neutral,neutral,neutral,neutral,3,False
fq0p4gx,1589035391.0,2020,5,Daytrading,comments,DAY,1,eca1e55b0721ddf4ef49da90d7980777d824f10b63dd1522081e5f2858b9f2a9,neutral,neutral,neutral,neutral,3,False
gj1hos,1589384702.0,2020,5,Daytrading,submissions,VERU,1,41da65ebf5dea54f5d9a14e9b3981cc20b85642a9c364717c1cde649a1db7c34,neutral,compra,neutral,neutral,2,False
fppiu0e,1588803069.0,2020,5,Daytrading,comments,MSFT,1,dd97d0874ad246e803817eaca22ab09a593545d06f808aa497b64fd507a92bbc,compra,compra,compra,compra,3,False
ffq1j8o,1580115285.0,2020,1,Daytrading,comments,VERY,1,e49fa02562632e154ecb51328c4f30a441b87179166d1b7c9b293cfb6707e59c,neutral,neutral,neutral,neutral,3,False
fphoxpj,1588625130.0,2020,5,Daytrading,comments,UAVS,1,38ca9bc9845827e7deea1a91a50901c4e25cc7a6ebc75d7b830a42a421530d02,compra,compra,compra,compra,3,False
fq13bw5,1589041171.0,2020,5,Daytrading,comments,LYFT,1,4e734d137487b317bd6861f4e2be0a430627fc87d72d90a94d3ae8af836cd608,neutral,neutral,neutral,neutral,3,False
ffingrm,1579978094.0,2020,1,Daytrading,comments,MT,1,1f47f446f88962f9606f58a53b195e4a9d65456bd769261eded1c02828ddc9fa,neutral,neutral,neutral,neutral,3,False
fddpqr2,1578320653.0,2020,1,Daytrading,comments,MA,1,98035f8083f5da26c3334281b25f325e673067e3542fd0f6558fb43b15884e54,neutral,neutral,neutral,neutral,3,False
ge39sv,1588703508.0,2020,5,Daytrading,submissions,AMD,1,4128ac395c30c01137097c3f19b4de6c318a09d4998e25052f2ad1ebef12ad1a,neutral,neutral,neutral,neutral,3,False
fq2rb2x,1589058875.0,2020,5,Daytrading,comments,RCL,1,3e3d101c2e540655816320008aafd70d402a054c74d2169ac76c65974f54d4bc,compra,compra,compra,compra,3,False
fp8ooz5,1588398153.0,2020,5,Daytrading,comments,INO,1,473068201330b65bb8457c0c8c1a1939c22a9fb0573030fb2f89de22b15ac298,compra,compra,compra,compra,3,False
ffhq1bu,1579947800.0,2020,1,Daytrading,comments,UBS,1,55cda3fb34adeefb64448a5c1440723eac5a9130c4b3b3e4a61b1d1b584a6622,neutral,neutral,neutral,neutral,3,False
ffmfqkr,1580054042.0,2020,1,Daytrading,comments,CRM,1,681a2fb2f056b83786ee446e63e799dfc0a0c44fb4ddde4bf36ab7e0e8a0ada1,neutral,neutral,neutral,neutral,3,False
ffgnpei,1579910505.0,2020,1,Daytrading,comments,AMP,1,5c81bebea7e3a2593b2ea17299aec70303a15ccc658cb5cf5fa9cae60416bca6,neutral,neutral,neutral,neutral,3,False
gelrv3,1588777714.0,2020,5,Daytrading,submissions,AZN,1,e5b86421d42751e9a63e87bf4c00f94e5288b9a8ce275826798ef45a86e80219,venta,neutral,neutral,neutral,2,False
fpdyd7v,1588536699.0,2020,5,Daytrading,comments,MT,1,596f70f27d2ee0c04ad48644be006377a43ce79f5fe285f3ec8297c913c7520d,neutral,neutral,neutral,neutral,3,False
eose5f,1579039600.0,2020,1,Daytrading,submissions,BIOC,1,482e14243e1bf5a4ea28a4304922ef3baa7e22fb17c0afc42f50a0ceb0541e1c,neutral,neutral,neutral,neutral,3,False
fpgcfgx,1588599779.0,2020,5,Daytrading,comments,MVIS,1,16f176455c3a19527e23b0abf59ac48ac2f4321e9f0cd1b07c3e68e382343d36,neutral,neutral,neutral,neutral,3,False
gizcjs,1589377625.0,2020,5,Daytrading,submissions,MARK,1,5f835514e63aa50ef9e97a35cf494a438283de6e9d95ac2ec77559ba446422cd,neutral,neutral,neutral,neutral,3,False
fpqbz1u,1588819418.0,2020,5,Daytrading,comments,APT,1,6e23a36976162bc841a2ed6f6319cc6745d9d70164bf572ccd434cb6c5cb7b75,neutral,neutral,neutral,neutral,3,False
gkvh9y,1589639165.0,2020,5,Daytrading,submissions,SRNE,1,664e0827af2663e16e592c4743778a8b692837d627a0003b65a489eaf1aca0e7,neutral,neutral,neutral,neutral,3,False
evwx7i,1580346591.0,2020,1,Daytrading,submissions,BACK,1,525c3411bc20c908a35e21ff6c58dc3e8d2ba323e8fa8f1527f1c7f8da670f4a,neutral,neutral,neutral,neutral,3,False
fpe65lq,1588541131.0,2020,5,Daytrading,comments,AMD,1,fe0d8e819bfb9d1bdc85470704993fc11fe6f5a3a034b4be88e4717d6f0a3ad7,neutral,neutral,neutral,neutral,3,False
ffk5sn3,1580016800.0,2020,1,Daytrading,comments,MT,1,075f5a70ae592914d4ded537e64b32c0dd213dcae10861a2b888ffce59866fc9,neutral,neutral,neutral,neutral,3,False
fqanizb,1589222078.0,2020,5,Daytrading,comments,DCAR,1,c6f1edecb86dd1d1494d1015e6fe7341a19462f95180099e14d2ecd48f5025cc,compra,compra,compra,compra,3,False
giyyn5,1589376252.0,2020,5,Daytrading,submissions,IHC,1,ac2d43b23e73877ed8a27de8002d0df0d276ee07c6123f06f8a7d828ef3d496b,neutral,neutral,neutral,neutral,3,False
gifs23,1589304446.0,2020,5,Daytrading,submissions,MVIS,1,0523b24d449c9b14d138d5d8aecf497ef1a4831af5442f6719ad4e14d8fcc8b3,compra,compra,compra,compra,3,False
fpki4ry,1588695111.0,2020,5,Daytrading,comments,CLSK,1,7727bad009f4de249dfeddaf50d78513dc12852765023f5fdeefe812999402d5,compra,compra,compra,compra,3,False
fp48v93,1588294022.0,2020,5,Daytrading,comments,AMZN,1,9d6b855f9d3803a734676cc4b273d4ba784780e3093ffb7accffc7d9a76bcd19,neutral,neutral,venta,neutral,2,False
gki04z,1589578388.0,2020,5,Daytrading,submissions,CHEK,2,5092dc9c67fd82b8eaed1a4fdc75b368fc2d765c5f1a1b9554392685d15867e9,compra,compra,compra,compra,3,False
fp6q04l,1588356593.0,2020,5,Daytrading,comments,ING,1,8ab0231633316462e792adc5ee2e74b0b4b6571564625756d26c09ea6ebf8cd4,neutral,neutral,neutral,neutral,3,False
ffvmczp,1580267523.0,2020,1,Daytrading,comments,ROKU,1,f74d6198f6f112c3f507978bb8d097beaee0ae23819b267eaeddaff4fef24515,neutral,neutral,neutral,neutral,3,False
gib2gx,1589289593.0,2020,5,Daytrading,submissions,AMC,6,4b07e54eff042ecd961467c50f1c3ea72d6649004fe00fd35849294d1cfd0a0a,neutral,neutral,neutral,neutral,3,False
fp7xenx,1588378873.0,2020,5,Daytrading,comments,TSLA,1,9b12bfb4101eb80b0326bfd95ed9523a33dc9213ceb7bff94c3d1c49f30254cf,venta,venta,venta,venta,3,False
gcvfpd,1588530205.0,2020,5,Daytrading,submissions,BB,1,28fb6961a31fdb8a733a125409a718294712345b6ca6abed5978015566e1a28e,compra,compra,neutral,compra,2,False
eq03xg,1579266288.0,2020,1,Daytrading,submissions,ASX,1,cfcfd392a74011144162561d242c54694be24c142e912a35d1cf05914679ec49,neutral,neutral,neutral,neutral,3,False
fpuyta2,1588928595.0,2020,5,Daytrading,comments,TSLA,1,286bb020eb2c08d2f295b025d63a6c641b50cae5991244c208c4c0f387feeaac,neutral,compra,neutral,neutral,2,False
fpo1nhg,1588776755.0,2020,5,Daytrading,comments,AMP,1,eefa27de1ccb2db05df169d6170e92acc2c809d0b3fd8168e7242ac7fae297cd,neutral,neutral,neutral,neutral,3,False
gbhz19,1588339231.0,2020,5,Daytrading,submissions,AAL,8,1a9bf5f025c9b41547e012defd91a85b3b3ea9bd5038059a7b858d36da90b9a9,neutral,neutral,neutral,neutral,3,False
gm0s2n,1589805925.0,2020,5,Daytrading,submissions,SRNE,1,226a72d19aa5ba4024b5087c0c004a809778736f6920c9b3d835190e94cef439,neutral,neutral,neutral,neutral,3,False
fphuyqs,1588628283.0,2020,5,Daytrading,comments,MARK,1,9d57c7b11e1276e659cf944347416087c9e9204a005acb077899c68cfdc20c51,compra,neutral,compra,compra,2,False
fp76ydg,1588365175.0,2020,5,Daytrading,comments,MIST,1,0c09a7b959c40384075b0dbf74c90eede63dda80e329084e4b38325713d5fa0e,neutral,compra,compra,compra,2,False
giwz7p,1589368200.0,2020,5,Daytrading,submissions,PRE,1,b2e29c61459415e05419b522d5c139e2ca11d9845e340e2812a0186b1ebf9262,neutral,neutral,neutral,neutral,3,False
gcfhte,1588459263.0,2020,5,Daytrading,submissions,WTI,1,1b3c56983333fa88a336b90a77c7295359e71d1c7d3d98254eee76b81472a419,neutral,neutral,neutral,neutral,3,False
fqae412,1589217515.0,2020,5,Daytrading,comments,AMC,2,d6dda1b8b114d660bee4260d5bceccf843f4e2283248185ca750e728b45f4dcd,neutral,neutral,neutral,neutral,3,False
fpgetgt,1588601248.0,2020,5,Daytrading,comments,BAC,1,1012c1e4f71990b6ce95f6df5ea5eeceb8c1b2b3901440514473b26631d8f396,neutral,neutral,neutral,neutral,3,False
ffn5v2g,1580062344.0,2020,1,Daytrading,comments,AMP,1,e8d2b65d5650e742b837584c6737e8dee8609e94ca7821822185c1ec5d8f921c,neutral,neutral,neutral,neutral,3,False
gm184g,1589807649.0,2020,5,Daytrading,submissions,ACB,11,54829d6a9841bd798227eec7d4746b732e374d0663c718c85eab02be13fee627,neutral,neutral,neutral,neutral,3,False
fpk43gd,1588687588.0,2020,5,Daytrading,comments,MVIS,1,3aa19bf0f8dea2c73e54c4ef01a9595257fe3500a26361d4f98e73e488d21c61,neutral,venta,compra,compra,1,True
gkdz45,1589565293.0,2020,5,Daytrading,submissions,CHEK,1,8df32803572c88373b4b2a2012d29a0c4f5afcf264a5ddbc5d4521178395a970,compra,compra,compra,compra,3,False
feiovxg,1579143582.0,2020,1,Daytrading,comments,MA,1,d05efab8f03d88c35e0daaeb50da867ef2c0821dc5a6d8eacfa27c4dbd2161bf,neutral,neutral,neutral,neutral,3,False
gixbuj,1589369810.0,2020,5,Daytrading,submissions,SLGG,1,18fcc8455e1bc047b3e9e96ff24c5afa506b9786e609933c1f68308436cd23bb,neutral,venta,venta,venta,2,False
feifswv,1579137518.0,2020,1,Daytrading,comments,AAPL,1,f2841f8c57b4f2eae6d8554058e3d57b2456a281437c00bebedc65dafa3a6c4f,neutral,neutral,neutral,neutral,3,False
gk8to2,1589548173.0,2020,5,Daytrading,submissions,SRNE,1,cadfe990a7b2ebb15cacd5d3844c535cbf3a92aeeffa292bde72ba26772eccb5,neutral,neutral,neutral,neutral,3,False
ferl5dm,1579355325.0,2020,1,Daytrading,comments,FOX,1,79569472fc4a73b15117a0fc6537a5aae1f92efc91ea16bc6aa369c3f1a89ca2,neutral,compra,neutral,neutral,2,False
giqwsi,1589340149.0,2020,5,Daytrading,submissions,TTNP,1,899a4404f27a3ea87303e6c50fc40a4150f121caaa1c555ca02c6150f16db40a,compra,compra,compra,compra,3,False
glwkqr,1589785427.0,2020,5,Daytrading,submissions,AMZN,2,f098edc92cc785b9f9debc3eab37212687285e85b793907a8aeae9159e07621a,neutral,neutral,neutral,neutral,3,False
gn0yng,1589934591.0,2020,5,Daytrading,submissions,INTC,1,ff0a824bba1856c6431be746beddb68d5d6afbce20b48bbf3f4d9937d9cc7bcc,neutral,neutral,neutral,neutral,3,False
frdoz1b,1590093743.0,2020,5,SPACs,comments,VTIQ,1,f1873b6f82e1b19b4a263665471cf6196dbd77f68857ec23d9e540890fa37b39,compra,compra,compra,compra,3,False
fs19rsz,1590624048.0,2020,5,SPACs,comments,DEAC,2,2d8913fb6ea14d79e6eed8b820f0f276319df7036bfa1a6a31f5786ba2613fc3,neutral,venta,venta,venta,2,False
friydby,1590212980.0,2020,5,SPACs,comments,VTIQ,1,169860e353fc163177c8ea6f897afdf4dce66d6fb277e35368e42aa0a77250fa,compra,compra,compra,compra,3,False
frayoic,1590028967.0,2020,5,SPACs,comments,CCX,1,b2592f0f543aa180cdfc1588936c164ff46c26e6d60da258338741e03cc4fa57,neutral,neutral,neutral,neutral,3,False
frdyvyt,1590098825.0,2020,5,SPACs,comments,FMCI,1,0fb01c58a30560b9aa6303dfd725926aa4b10df882fe0baea4b07542bb9b2bda,neutral,neutral,venta,neutral,2,False
fs4bywf,1590693391.0,2020,5,SPACs,comments,FMCI,1,61bdf03d0352463a418cf390ff9b82f27a63a7702aee89a838a84f23300d0ee0,neutral,compra,neutral,neutral,2,False
fs1m7k6,1590631018.0,2020,5,SPACs,comments,NKLA,2,77b05d816260a59a632c178a539eebcb952ce75ea95dfbba0836ba1861645c39,neutral,neutral,neutral,neutral,3,False
grqhpi,1590607726.0,2020,5,SPACs,submissions,NKLA,2,3ed13f3b19aeab658a86a226449be1e67088b2948bf9c4ad41279e42ec104ebc,compra,compra,compra,compra,3,False
frax0eo,1590027991.0,2020,5,SPACs,comments,NKLA,2,149649fba9730bfebefec73ab6d865028e8a0db94154a54a2ceb72ed810c7e74,compra,compra,compra,compra,3,False
fs3o5pg,1590682262.0,2020,5,SPACs,comments,BYND,2,750aba76f6d5c58c293c63d2948e4b355dc4dc87b5e7e9084e7a2d5c1f21b44c,neutral,neutral,neutral,neutral,3,False
frd2qa4,1590082655.0,2020,5,SPACs,comments,VTIQ,1,97221f88ab427d43af0a95efcc86e10b05b8975e5402e28a2e0664e0b040026e,compra,compra,compra,compra,3,False
frn5qtq,1590316363.0,2020,5,SPACs,comments,VTIQ,1,c48c6b1799e241135f207a93f6c01428e067b710d96ce96873bad54d1bc7f744,neutral,venta,venta,venta,2,False
gqpqtl,1590465153.0,2020,5,SPACs,submissions,CAR,1,c211d3e37ed30d3a2cb21ef6639a9e4e3bba6d6a03f27df73d0031bf21f0888a,neutral,neutral,neutral,neutral,3,False
fs1eut7,1590626855.0,2020,5,SPACs,comments,FMCI,1,13f235eddb113f461816afd6266132d96e886cc292156302a33d1d0f9ccc9142,compra,compra,compra,compra,3,False
gqytkc,1590505870.0,2020,5,SPACs,submissions,FMCI,1,87f81c39a96806e7eaf1461a3dfc578844da3ce66c0c7dbc290644a79bbed397,neutral,neutral,neutral,neutral,3,False
gryp6t,1590637018.0,2020,5,SPACs,submissions,NKLA,2,532be45399f73f4c8b188247dc69a7748c6a2f5377f800b72257b36efcf77f65,neutral,neutral,neutral,neutral,3,False
friczdc,1590197756.0,2020,5,SPACs,comments,VTIQ,1,b7fcabff2d552882655abbed8a77fad89d11a4f4a8632d5ac51494e7b8992c70,venta,venta,venta,venta,3,False
grri5s,1590610904.0,2020,5,SPACs,submissions,FMCI,1,aacbb59d566249ffb18287ec9bf0660626a9d5fced550f9a91f09e264df9ae71,compra,neutral,compra,compra,2,False
fremwse,1590112379.0,2020,5,SPACs,comments,ACB,2,2cbc98e02dd13a537fd65dbb417aa3a32a219359c3a825fbb41bf6a97db6d473,neutral,venta,venta,venta,2,False
frrarfs,1590404257.0,2020,5,SPACs,comments,GSAH,1,4e4b72f28bdd439ba3ebcd227f07e66ae63fa95642076a4b7d7ceaadb8e905e4,neutral,neutral,neutral,neutral,3,False
fs25t2d,1590643634.0,2020,5,SPACs,comments,SPCE,1,a726f62fbc5594d9c6dbd3729e6eca08ef7029f1156a16f34fbcd355640436b9,compra,compra,compra,compra,3,False
frvt8n7,1590509876.0,2020,5,SPACs,comments,NKLA,2,9f3994ee535bea753bbcd2c42003ba2ee12e94f2f5bad345dd9c4aa7f7714007,neutral,venta,venta,venta,2,False
gtde03,1590841102.0,2020,5,SPACs,submissions,DKNG,2,6fb567192ea9b04b5fc7f41576b9f892a4f51a4db1424affc439deaa72bce160,neutral,compra,compra,compra,2,False
fs3ms62,1590681627.0,2020,5,SPACs,comments,FMCI,1,15b3386496589651cef800836784fc45748133c805a648ebfa04733fdbf1bf9a,neutral,neutral,neutral,neutral,3,False
fr9z0a7,1590005958.0,2020,5,SPACs,comments,FMCI,1,6a6a47218b39ea75d77ffa0e10eb017eec336080442789cbb074834f06bc2bd2,neutral,compra,neutral,neutral,2,False
fs24gax,1590642634.0,2020,5,SPACs,comments,FMCI,1,810c42bcc044cd9a6314aba52c0f3fe9d28709ba8d27f4f9f46f431231085e07,neutral,neutral,neutral,neutral,3,False
frbi26i,1590043339.0,2020,5,SPACs,comments,NKLA,1,7551bd94379cf77c2bad63d8ab9cd55856011057ad385728b58ec169768f5818,compra,compra,compra,compra,3,False
frfaa5x,1590128662.0,2020,5,SPACs,comments,FMCI,1,94ce53bcb6335e4a61cb6d0a40fbac2ee4f4eae4532c892517d3a0684de7e4ce,compra,compra,compra,compra,3,False
fratsji,1590026129.0,2020,5,SPACs,comments,DKNG,1,79933acb7065c95744e890b7f2a30425cb56f45bce7757581cbc374a02ac8272,venta,venta,venta,venta,3,False
fs76rj8,1590760001.0,2020,5,SPACs,comments,FMCI,1,5e354857d68d8e6c71c5d1b410287d1f938460a319233464a70f0422d5f0790e,neutral,neutral,neutral,neutral,3,False
fs4du43,1590694278.0,2020,5,SPACs,comments,FMCI,1,f5368f858dc2d3a5963e5037a404f9c34a510cbfabde3b9df29b3e1e7c6d190d,neutral,neutral,compra,neutral,2,False
frtc0y9,1590447245.0,2020,5,SPACs,comments,NKLA,2,879156d580117b60eab696a54400603aa42ac4d527e9718b5f9d8f2de286d795,neutral,neutral,neutral,neutral,3,False
