id,created_utc,anio,mes,sub,tipo,ticker,n_tickers,sha256_texto,reglas_v2,deepseek,mistral,claude,kimi,etiqueta_consenso,votos,etiqueta_final,fuente_etiqueta,pred_v1,pred_v2b
jmxh6l,1604355018.0,2020,11,wallstreetbets,submissions,AMC,1,afe35983c9f3ef03192d04e8e852154bf99ba62e2004326e36ef32889a8d06ef,compra,neutral,neutral,neutral,compra,neutral,3.0,neutral,mayoria_3de4,compra,compra
f1pq9e,1581338341.0,2020,2,stocks,submissions,MSFT,1,84dde2778590325c1d15e91a7ad6b602a3542fed62d29a121aa1385546a17a95,compra,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
jon0aq,1604597561.0,2020,11,stocks,submissions,NIO,1,14e790896e4e72f36c268a47a17e15bbb60305cf585bed7a54ba4093c7efe042,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,neutral,compra
garod0s,1604210550.0,2020,11,wallstreetbets,comments,AAPL,2,49346cf28998bda4c8949b1d5e086eeacc08e300a0dc69883168811202c7bd32,compra,neutral,neutral,compra,compra,neutral,2.0,compra,pedro_adjudicacion,compra,compra
f0kthm,1581127096.0,2020,2,stocks,submissions,NOK,1,9a59d7f8f5e9fb13665b92512339ea6469a928cf340e022be74337549213a6fe,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jnw1c0,1604493809.0,2020,11,stocks,submissions,NIO,1,b5026718a427ace1aba7ba861c14db89ac69cc901650fcda1ad5cdee2a3dea75,compra,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,neutral,neutral
ey95pu,1580745533.0,2020,2,wallstreetbets,submissions,TSLA,1,5b36f57ad3cdcc9d6849a69d4f3649b4f3a8dc0be81cd9bdb56b9dedfd3d5e64,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gaqx4lp,1604190080.0,2020,11,wallstreetbets,comments,AAPL,1,d532d9866b0ce7fa2b2b02ec5d08740096224711ee5edc18ee436096f9c08422,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jnjtuh,1604440635.0,2020,11,stocks,submissions,AMD,1,2bf60740a8f0c76ccde7a2db2d41b582b905811a19dbe47030ddd4aed7a4238a,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,compra
jnmauo,1604448847.0,2020,11,wallstreetbets,submissions,NIO,1,497baaea398e9f3313f7a6400312a452e9bbcae79c00e92b9a755be2a445f7f9,neutral,neutral,compra,neutral,compra,neutral,2.0,compra,pedro_adjudicacion,neutral,neutral
garowna,1604211104.0,2020,11,wallstreetbets,comments,NIO,1,66bf576de04f38c746d434424a617b7df1e279c5258fc5bd6f890dbea1dfca4b,neutral,neutral,venta,neutral,venta,neutral,2.0,neutral,pedro_adjudicacion,venta,compra
f2sm4i,1581520343.0,2020,2,stocks,submissions,TSLA,1,168e5ddbba51c8a3bfa062124b795d6436e14e2f0280d5e5ecacf453ec68d544,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,compra,compra
eya5iu,1580749527.0,2020,2,wallstreetbets,submissions,GOOG,1,ee7c4a7b9eae2464858debc5f712ccacefa01a96302cc375d2ea62de7465251c,neutral,compra,neutral,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
f03dgk,1581040925.0,2020,2,stocks,submissions,AMD,2,0687c0b2a6a6f41cebd606028980380caad4eaeef4ff781ea427e49e11b10309,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jnelly,1604424516.0,2020,11,wallstreetbets,submissions,NIO,1,09e5ebea060509e64fb08e1d03b8b4df91aedd34843f9a406813be2c4ff38b91,neutral,compra,neutral,compra,neutral,compra,2.0,compra,pedro_adjudicacion,compra,neutral
gar10i4,1604192611.0,2020,11,wallstreetbets,comments,AMD,2,b38253cc3d434a97ec09accaa438d103806f93a89a4f36e01e4a2fe59e64d6ba,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jo8tuz,1604537223.0,2020,11,stocks,submissions,APHA,1,1dfefeb819e46013ece1e134a43aae00d8f5e701a60e51f782d877b1d80084a4,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
eybg3t,1580754680.0,2020,2,wallstreetbets,submissions,TSLA,1,70dd7c128de1e59d3d85648fbc408ecafb1b7a08d25fb553f05c484908e46b2d,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,compra
gavrfy2,1604309069.0,2020,11,stocks,comments,NIO,1,3857d35dfb9455419bc92baca4a27c63e5ca1e4fdbb9ee672c7f8ad96329aa9b,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
gavq3x8,1604307495.0,2020,11,stocks,comments,AMD,2,71f324d8753d945315ee6d4352ef6795ce978b3cee9a203c936bf8f832562c14,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg6qzk8,1580574875.0,2020,2,stocks,comments,MSFT,2,505bae2463cf8f56fe639e8bee6450454d24d6833a20f5b485d133d11eebe25d,neutral,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
jofcbz,1604565188.0,2020,11,stocks,submissions,NIO,1,5a1c64f781266d77c24a06e569461c55e911398b8f166c62d4d44799c93b65d8,neutral,neutral,compra,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,compra,neutral
fgbfrul,1580661646.0,2020,2,stocks,comments,AMD,1,8272784e320bb8b79e3c54380d0ac8f05ab2d4e04ebab7c3071525d616ff300c,neutral,neutral,neutral,compra,compra,neutral,2.0,compra,pedro_adjudicacion,venta,venta
jm3se5,1604243496.0,2020,11,stocks,submissions,WKHS,1,3326b91d474a14af75260b78bed842287a3a0a93102fcc8732bdebd8b9c1d57c,neutral,neutral,neutral,venta,neutral,neutral,3.0,neutral,mayoria_3de4,venta,neutral
jngx1t,1604431494.0,2020,11,wallstreetbets,submissions,NFLX,1,385216b8351b7c8735af5df424d685c35f75379d0cf91a8ce926ada7003449e1,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jmpulp,1604332028.0,2020,11,stocks,submissions,AMD,1,d075f01498cd26dd3a8ada7e67180953ea6a1611ebfa1c624e58828e78687f68,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
garfu5k,1604203020.0,2020,11,wallstreetbets,comments,AMD,1,e1645a67d5be6f6c1f1c8d293c60880516b03257aca79b675ce2d0747b4b5070,neutral,neutral,venta,neutral,compra,neutral,2.0,venta,pedro_adjudicacion,venta,venta
gasnr2r,1604241708.0,2020,11,stocks,comments,AMZN,1,d2abc2fbdec01dc6277fa62959f0af82eda256c0e50843049e0ab8117db8516c,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jn06v7,1604363938.0,2020,11,stocks,submissions,NIO,1,2437a5cecdb280cda972cfacff1ea2e5c56a56a5873b3ef6b244b0f7cf0fd37c,neutral,neutral,neutral,neutral,compra,neutral,3.0,neutral,mayoria_3de4,neutral,neutral
fg7mlq9,1580596186.0,2020,2,stocks,comments,AAPL,1,d1ed5ed3961f8a6c71ba1b7abb5c5b7d233c4487ffb043edf0fb2e78b62b57ad,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg5645a,1580519209.0,2020,2,wallstreetbets,comments,AMD,1,4f239790e4280390fc0a40866ebbf4d1f6d7be1cf3e3b6fc720e6fc1ad104fc4,neutral,venta,neutral,venta,neutral,venta,2.0,venta,pedro_adjudicacion,compra,venta
eyrzf3,1580831399.0,2020,2,stocks,submissions,TSLA,1,7aa9e4c7d51fceb3f9f6d02ccb8a7f653d13788ca8c9039d4c24543b5c18cb1e,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gar6bcn,1604196158.0,2020,11,wallstreetbets,comments,GME,2,d29a0cc29ff7c2831e449865c870a3116b039726ec7b7b0f50bd82cacba0d1f3,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jn4s1u,1604381791.0,2020,11,wallstreetbets,submissions,DKNG,1,5993503bf65d96e409a26e351f55745599ade128d22c07d9541243e8defb9599,neutral,venta,venta,venta,neutral,venta,3.0,venta,mayoria_3de4,compra,compra
fg56u53,1580519726.0,2020,2,wallstreetbets,comments,AMD,1,7ab9bab35c898cad0c06325de1b1e69503bb3ce6f28555e03df71d046068046e,neutral,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,venta
jncsgw,1604419066.0,2020,11,stocks,submissions,NIO,1,1ed7527a828ac3a0b6e8f608905198e38c58886ae4921854c54196d26e27601d,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jnhq4w,1604434002.0,2020,11,wallstreetbets,submissions,TWTR,1,5e1c1022d19ccdd8ae558d7218f12777422393c0d480533ed44c2ee46976a681,neutral,neutral,venta,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,venta,venta
fg9igdm,1580639115.0,2020,2,stocks,comments,SPCE,1,b245be48f3904384fbe8f4d34acf03229d0552fb4ad1e9f3f7a3ee72906ef6c8,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
eyaz7u,1580752808.0,2020,2,wallstreetbets,submissions,TSLA,1,caf725c2bd4361f59cb0667f3f4e7b1638118a80ac669ac29ba0fa11543c695a,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,neutral,compra
jp70c1,1604676338.0,2020,11,stocks,submissions,TSLA,1,2ff6985a9799a3a91cd0e3be08a6eb6962ae3b64d6021177f923fa8618fa13e3,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jmzurf,1604362810.0,2020,11,stocks,submissions,NIO,1,fd00d818572cea2dd46a5b74b0b8ba445e7a86591ffca110fdcdfc89df15abfa,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,neutral
eybjfy,1580755027.0,2020,2,wallstreetbets,submissions,MSFT,1,82e752d44a00ce53c3f1deff8eadebd3e7e09ec291c1105903f11549422e8814,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
fg5km0x,1580530059.0,2020,2,wallstreetbets,comments,AMD,1,5af8e1949322e3262821ba40ceaa5461a493c2fa48d2a5e9d1386eb90a7115a6,neutral,venta,neutral,venta,neutral,venta,2.0,venta,pedro_adjudicacion,venta,venta
jo2got,1604515916.0,2020,11,stocks,submissions,NIO,1,0241ff42bc6f164275281af101026ccd20a191570bb97ffe178711a0cf900e0f,neutral,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
gar59gz,1604195449.0,2020,11,wallstreetbets,comments,AAPL,1,58376dee0b0434124dd2f35da218635a26f5421cd7ca6a75bb2a06c4b907cf11,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fgbu9sa,1580666140.0,2020,2,stocks,comments,GME,1,c1a189b5b3c2127bf912ed1fcf8af47262139e8a0bf609024eb9bba2eae6c147,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jnzkpb,1604506820.0,2020,11,stocks,submissions,AMZN,1,f79a931a9876798909ba924e22244a89879eb999bf33675438614028bee6135c,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
jo6h4r,1604528949.0,2020,11,stocks,submissions,NIO,1,8814141af608da6062f5293c74beeaae237d489d0257375f00e1fba2709c7755,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gar8uxd,1604197896.0,2020,11,wallstreetbets,comments,PLTR,1,2c298f61d9299a3c392d3f9fbe6f7605b4ced8ad39d377d51a6b9dfa0a5682cf,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jnblqr,1604415204.0,2020,11,wallstreetbets,submissions,NIO,1,b6d41cc1e54d582ce808444cf5614ce71c226a39030eb7ff72b4b1fb081f043c,neutral,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
garn0ua,1604209230.0,2020,11,wallstreetbets,comments,NKLA,1,d3833f968f14488dbf1015c98428e4ad242414028ab805503e5a633576801c07,neutral,venta,neutral,venta,venta,venta,3.0,venta,mayoria_3de4,compra,compra
fg5kof7,1580530112.0,2020,2,wallstreetbets,comments,TSLA,1,f5384e7e8fb7efc98625f3453008435c3e4095ea88e9abb8da4a7adb3ad01a20,neutral,venta,neutral,venta,venta,venta,3.0,venta,mayoria_3de4,venta,neutral
gaumzh3,1604278673.0,2020,11,stocks,comments,NIO,1,49ae14d69907635d2262764b920b3fbfa94738b8fbfaa84849f56e9f31621655,neutral,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
ezalmt,1580914085.0,2020,2,stocks,submissions,TSLA,1,ee4e788b82099857f495ff2482107725dd9da5e9f3bdee417ce85b6a10c58f02,neutral,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,venta
exx03s,1580684338.0,2020,2,wallstreetbets,submissions,NIO,1,f5518a9f03a912e2d14e6a344c14aac24a34ec38cdd966de8a103f8f40b1e38c,neutral,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
ey8zj6,1580744824.0,2020,2,wallstreetbets,submissions,BYND,1,94e3eeca40cd3b8ccd3b5c3c4943e71a4aed26af4a3484a8a462f87dcf0e9920,neutral,neutral,neutral,neutral,venta,neutral,3.0,neutral,mayoria_3de4,compra,compra
fg54r3g,1580518239.0,2020,2,wallstreetbets,comments,AMD,1,e63772e39e23d94e50ce3090f89c8165218e4af9112177286c05f4a674d4a6d7,venta,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
gar8jy8,1604197683.0,2020,11,wallstreetbets,comments,BYND,2,7eb537cc114ec22cb741449cfcf2fbd9823ff0741d205b3843e8ae029eb5ad03,venta,neutral,venta,compra,neutral,neutral,2.0,compra,pedro_adjudicacion,compra,compra
gaqzyu5,1604191926.0,2020,11,wallstreetbets,comments,AAPL,3,58dd16c27674902ca1a26043a0e06231a460fc6f0ee74a99462d83056fdd196a,venta,venta,venta,compra,compra,venta,2.0,compra,pedro_adjudicacion,compra,compra
fg5jbbq,1580529025.0,2020,2,wallstreetbets,comments,TSLA,1,720b82cc1de671e0eb6c7ddde592d5015eca1fae01e9211fcce1f076680d52a6,venta,compra,venta,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
jmumbj,1604346256.0,2020,11,wallstreetbets,submissions,BA,1,a826491d01507ca42c846952fb2373b02c04261dd736cffa666429785d083df5,venta,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,venta,venta
fgbg7z6,1580661794.0,2020,2,stocks,comments,TSLA,1,dcf72f9fb9e3ce72782fa88792a0c3de7d3558086fabe0f699c0351f242dbee4,venta,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,venta
exb7t9,1580585278.0,2020,2,wallstreetbets,submissions,BABA,1,9deb441a0f17bf5e638036b827c7a2d137cc2b72ab25a54d7c33499e4ef37146,venta,venta,neutral,venta,venta,venta,3.0,venta,mayoria_3de4,venta,venta
exesg2,1580600204.0,2020,2,stocks,submissions,AAPL,2,99872ee92324d313f4bd1ed81fdb7403ceee2998e77dd712d8b8fc9b5fd63c7f,venta,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,neutral
eykmcr,1580791641.0,2020,2,stocks,submissions,NIO,1,ff0e42b310ab6b3c9fe52af2b3e12cbd23768f3eebebd20fe96ef285e8681acb,venta,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,compra
jni4bl,1604435253.0,2020,11,wallstreetbets,submissions,AMC,1,dbaf8115ab82a34659efdc6c58ec14222f502338b947956bf0bdbeed1e4a8f59,venta,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,venta
fg5um6d,1580539532.0,2020,2,wallstreetbets,comments,AMZN,1,77f5c234f0dc05178a1d7965205d751fd8e744ddc9b24a42f3fff52d87f6977b,venta,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,venta,venta
gar800k,1604197306.0,2020,11,wallstreetbets,comments,AAPL,2,feb79a07a107714840a9228510c7cbc1bf4392601efdb3fabee9499800af837c,venta,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,venta
gavk2e2,1604301052.0,2020,11,stocks,comments,NIO,1,d3d053b9a0b30ed2aec4a52576f097bd793c5d06282e35b8ddc30b028b9f39da,venta,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
gaqzz2i,1604191930.0,2020,11,wallstreetbets,comments,AMZN,1,6a348a26c1782371128d276e5bc93b4458d2ff70a09293b194c625b7344d266e,venta,neutral,venta,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,venta,venta
gatdkmv,1604255766.0,2020,11,stocks,comments,NIO,1,d8c31fe7970c296156b03b9cb77aaa96404c9d4d4b691df53f05187294168de6,venta,neutral,venta,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,venta,neutral
f16u1v,1581243193.0,2020,2,stocks,submissions,AMD,1,939203244579ca5074e0c3cc15d5ec056a987f8c875d5bf673e395e876054784,venta,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
gatea3s,1604256114.0,2020,11,stocks,comments,NIO,1,898ca6407b679ea812873a940d418d3c18044be0923fe1b85a1a05759e246d28,venta,neutral,compra,venta,venta,venta,2.0,venta,pedro_adjudicacion,compra,venta
fg5z0er,1580545176.0,2020,2,stocks,comments,AAPL,1,0759e2ef427ebd13a5a757c5cddd5ef6ba8bcf69165d042da364769a688a1ec8,venta,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,venta,neutral
f32i0v,1581559582.0,2020,2,stocks,submissions,SPCE,1,547242b37c187c8672cbb1e5b2882eaa92acd531fee763e7c6f3015d83e0f140,venta,neutral,neutral,compra,compra,neutral,2.0,neutral,pedro_adjudicacion,compra,compra
jm6rf3,1604253783.0,2020,11,wallstreetbets,submissions,AMC,1,e97d420e049ce7fb8ed5baea6c372af783821978f11a3c6ad75d2e167884385b,venta,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,compra,venta
